state,parent_state,to_move,layer,P(X wins),P(X wins) difference,P(O wins),P(O wins) difference,P(draws),P(draws) difference
OXO.XO..X,OXO.X...X,X,6,0.6666666667,0.08333333339999993,0.0,-0.0833333333,0.3333333333,0.0
OXO.XXOOX,OXO.XXO.X,X,8,1.0,0.5,0.0,-0.5,0.0,0.0
OXO.XXO.X,OXO.X.O.X,O,7,0.5,-0.33333333330000003,0.5,0.33333333330000003,0.0,0.0
OXO.X.OXX,OXO.X.O.X,O,7,1.0,0.16666666669999997,0.0,-0.1666666667,0.0,0.0
OXO.X.O.X,OXO.X...X,X,6,0.8333333333,0.25,0.1666666667,0.08333333339999999,0.0,-0.3333333333
OXO.XX.OX,OXO.X..OX,O,7,0.5,0.16666666670000002,0.0,0.0,0.5,-0.16666666669999997
OXO.X.XOX,OXO.X..OX,O,7,0.0,-0.3333333333,0.0,0.0,1.0,0.33333333330000003
OXO.X..OX,OXO.X...X,X,6,0.3333333333,-0.25000000000000006,0.0,-0.0833333333,0.6666666667,0.3333333334
OXO.X...X,OXO.....X,O,5,0.5833333333,0.050000000000000044,0.0833333333,-0.08333333339999999,0.3333333333,0.03333333329999999
OXOOOXXXX,OXOOOXX.X,O,9,1.0,0.0,0.0,0.0,0.0,0.0
OXOOOXX.X,OXOO.XX.X,X,8,1.0,0.5,0.0,0.0,0.0,-0.5
OXOO.XXOX,OXOO.XX.X,X,8,0.0,-0.5,0.0,0.0,1.0,0.5
OXOO.XX.X,OXOO.X..X,O,7,0.5,0.16666666670000002,0.0,-0.3333333333,0.5,0.16666666670000002
OXOOOX.XX,OXOO.X.XX,X,8,1.0,0.5,0.0,-0.5,0.0,0.0
OXOO.XOXX,OXOO.X.XX,X,8,0.0,-0.5,1.0,0.5,0.0,0.0
OXOO.X.XX,OXOO.X..X,O,7,0.5,0.16666666670000002,0.5,0.16666666670000002,0.0,-0.3333333333
OXOO.X..X,OXO..X..X,X,6,0.3333333333,0.0,0.3333333333,0.0,0.3333333333,0.0
OXO.OXXOX,OXO.OXX.X,X,8,0.0,-0.5,0.0,0.0,1.0,0.5
OXO.OXX.X,OXO.OX..X,O,7,0.5,0.16666666670000002,0.0,-0.3333333333,0.5,0.16666666670000002
OXO.OXOXX,OXO.OX.XX,X,8,0.0,-0.5,1.0,0.5,0.0,0.0
OXO.OX.XX,OXO.OX..X,O,7,0.5,0.16666666670000002,0.5,0.16666666670000002,0.0,-0.3333333333
OXO.OX..X,OXO..X..X,X,6,0.3333333333,0.0,0.3333333333,0.0,0.3333333333,0.0
OXO..XOXX,OXO..XO.X,O,7,0.0,-0.3333333333,1.0,0.33333333330000003,0.0,0.0
OXO..XO.X,OXO..X..X,X,6,0.3333333333,0.0,0.6666666667,0.3333333334,0.0,-0.3333333333
OXO..XXOX,OXO..X.OX,O,7,0.0,-0.3333333333,0.0,0.0,1.0,0.33333333330000003
